customer_id,recency,frequency,monetary,segment_k
91,43,2,378.62,1
92,901,3,897.89,3
93,535,4,989.2,2
94,495,3,308.1,3
95,441,6,1171.49,2
96,100,1,41.82,0
97,193,6,606.9100000000001,2
98,129,5,591.48,2
99,657,2,393.76,3
100,188,2,458.38,3
101,6,7,1899.26,1
102,573,3,540.54,3
103,116,2,561.16,3
104,156,8,1264.11,2
105,42,3,1133.72,1
106,341,1,241.97,0
107,441,4,865.42,2
108,54,2,172.98,1
109,148,3,833.56,2
110,672,3,210.57,3
112,909,2,150.44,0
113,389,1,513.11,3
114,895,2,421.39,3
115,911,4,729.52,2
116,488,3,673.76,3
117,178,1,222.20999999999998,0
118,12,4,486.55,1
119,24,1,330.12,1
120,7,3,464.17,1
121,231,2,585.22,3
122,809,3,418.07,3
123,692,5,885.9200000000001,2
124,363,2,770.68,3
125,175,5,1846.8000000000002,2
126,1326,2,1446.72,3
127,682,1,65.31,0
128,1378,2,220.63,3
129,82,3,431.13,1
131,72,3,412.15,1
132,501,4,740.88,2
133,20,5,811.5799999999999,1
134,148,4,485.14,2
135,832,2,452.17,3
136,697,4,1308.43,2
137,304,5,828.04,2
138,8,4,778.61,1
139,1351,2,479.28,3
140,255,5,1322.74,2
141,823,2,449.11,3
143,863,1,321.61,0
144,71,4,430.8,1
145,143,3,710.14,2
146,601,2,299.54,3
147,516,2,341.8,3
148,1366,2,128.59,0
149,169,2,257.43,3
151,291,2,332.83,3
152,25,4,595.55,1
153,41,4,368.69,1
154,212,1,224.52,0
155,1255,1,175.74,0
157,230,4,595.32,2
158,93,3,366.18,1
159,420,3,361.41,3
160,282,4,507.96,2
161,727,3,416.57,3
163,324,4,479.83,2
164,682,2,101.06,0
166,1015,2,333.59000000000003,3
167,319,4,1368.19,2
168,234,3,1192.52,2
169,62,4,348.87,1
170,494,2,207.56,3
171,83,3,148.07,1
172,124,2,239.20999999999998,3
173,336,2,321.23,3
174,585,1,66.69,0
175,141,3,554.42,2
176,715,5,1829.2400000000002,2
177,281,5,854.21,2
179,141,4,369.21,2
180,61,3,515.23,1
181,461,3,218.66,3
182,1343,1,206.05,0
183,477,1,34.489999999999995,0
185,864,2,289.85,3
186,104,1,36.2,0
187,392,3,467.88,3
188,94,4,491.69,1
189,537,4,576.34,2
190,458,2,254.26999999999998,3
191,39,2,132.67000000000002,1
192,737,1,82.65,0
193,104,2,100.03,0
194,272,2,305.19,3
195,75,2,390.46,1
196,28,5,531.22,1
197,1388,1,285.48,0
198,1116,1,158.7,0
199,132,4,909.53,2
200,154,2,294.54,3
201,46,5,576.13,1
202,296,8,924.0500000000001,2
203,427,2,462.78000000000003,3
204,48,1,219.2,1
205,177,3,106.77,3
206,95,2,403.13000000000005,1
207,209,7,579.49,2
208,576,1,381.57,3
209,138,3,180.55,3
210,579,2,96.53999999999999,0
211,252,5,979.85,2
212,882,1,65.25999999999999,0
213,119,6,1041.27,2
214,635,3,561.63,3
215,88,4,750.64,2
216,4,3,291.78999999999996,1
217,1157,3,248.6,3
218,799,1,110.99000000000001,0
219,221,4,436.56,2
221,671,3,464.38,3
222,440,3,356.91999999999996,3
223,1100,2,754.92,3
224,1092,1,18.64,0
226,2,2,287.02,1
227,441,3,743.06,2
228,551,2,133.35,0
229,357,2,214.27,3
230,342,4,578.02,2
231,401,2,63.28,0
232,224,3,260.43,3
235,731,4,615.04,2
236,836,1,235.65,0
237,613,1,548.62,3
238,166,5,598.25,2
239,187,3,217.57,3
240,170,3,155.37,3
241,141,5,1209.55,2
242,667,6,1271.45,2
243,1030,1,72.96000000000001,0
244,779,2,365.18,3
245,780,2,173.26,3
246,403,2,289.38,3
247,170,3,756.97,2
249,119,2,442.34000000000003,3
251,2,7,1033.3700000000001,1
252,464,4,496.65,2
253,829,2,299.66,3
254,154,4,460.14,2
255,164,6,966.44,2
257,316,3,378.06,3
258,807,3,375.96,3
259,13,2,298.97,1
260,247,3,573.58,2
261,18,3,1473.74,1
262,232,4,1412.35,2
263,594,3,435.7,3
264,1221,1,45.51,0
265,267,2,503.14,3
266,1124,1,219.90999999999997,0
267,77,2,241.75,1
268,1284,1,210.4,0
269,112,4,547.52,2
270,3,6,913.57,1
271,193,3,310.7,3
273,219,3,221.78,3
274,947,3,472.73,3
275,209,5,975.31,2
276,967,1,227.05,0
277,863,2,181.78,3
278,229,3,683.69,2
279,95,6,1586.37,2
280,131,5,734.53,2
281,318,4,777.75,2
282,205,4,842.03,2
283,520,2,228.93,3
284,265,3,450.56,3
285,247,2,255.73000000000002,3
286,504,2,323.27,3
287,384,2,412.49,3
288,124,6,741.38,2
290,504,1,50.94,0
291,619,1,38.02,0
292,228,1,188.28,0
293,542,2,526.03,3
295,313,1,61.07000000000001,0
296,380,3,584.41,3
297,1109,2,119.74,0
298,597,2,229.12,3
299,146,2,385.78999999999996,3
300,430,1,53.08,0
301,26,2,130.69,1
302,309,5,677.89,2
303,50,4,364.13,1
304,15,4,767.8399999999999,1
305,805,1,92.11,0
306,92,5,737.15,2
307,727,3,611.71,3
308,63,6,737.26,2
309,696,1,135.62,0
310,171,4,664.8,2
311,948,1,275.44,0
312,1277,1,179.74,0
313,324,1,27.380000000000003,0
314,605,3,714.9,3
315,596,2,113.24,0
316,14,2,249.72,1
317,889,2,541.55,3
318,659,3,314.51,3
319,205,3,295.73,3
320,31,5,1076.68,1
321,1012,1,566.0,3
322,10,4,763.8299999999999,1
323,889,1,91.31,0
324,241,4,474.29,2
325,551,2,205.42000000000002,3
326,1296,1,32.12,0
327,617,1,348.25,3
328,465,2,221.26,3
329,1319,2,365.36,3
330,243,4,911.08,2
331,144,6,883.36,2
334,666,3,343.31,3
335,591,1,515.23,3
336,257,4,455.26,2
337,1068,1,118.60999999999999,0
338,70,3,834.99,1
339,749,3,569.77,3
340,380,4,427.01,2
341,573,6,812.28,2
342,246,2,263.33,3
343,323,2,117.55,0
344,394,3,553.3,3
345,508,3,526.81,3
346,250,4,877.58,2
347,499,2,553.31,3
348,743,2,557.4,3
350,67,2,223.88,1
351,188,3,466.78999999999996,3
352,912,1,254.72,0
353,1426,1,82.49000000000001,0
354,1295,2,165.11,0
355,611,3,750.78,3
356,920,1,38.4,0
357,489,2,258.46000000000004,3
358,323,2,368.6,3
359,1040,1,19.18,0
360,86,2,77.65,0
362,279,3,401.5,3
363,204,2,137.47,3
364,9,2,450.31,1
365,409,2,142.2,0
366,59,4,438.97999999999996,1
367,326,3,275.62,3
368,569,5,849.37,2
369,102,1,270.61,3
370,99,3,350.67,1
371,41,3,449.44,1
372,56,7,1637.8500000000001,2
373,356,2,231.99,3
374,774,2,208.32,3
375,799,1,138.85000000000002,0
376,129,6,1056.2,2
377,606,1,169.19,0
378,130,4,710.92,2
379,215,4,915.49,2
380,222,4,885.92,2
381,888,1,133.77,0
382,93,5,332.55,1
383,3,2,681.0,1
384,564,4,761.25,2
385,751,2,435.77,3
386,256,5,1142.0,2
387,236,2,204.12,3
388,177,1,10.14,0
389,65,3,376.5,1
390,267,2,429.31,3
391,345,7,1277.13,2
392,186,4,690.9300000000001,2
393,26,8,1615.56,1
394,390,2,203.01,3
395,554,5,927.64,2
397,342,2,95.06,0
398,47,3,386.84999999999997,1
399,5,6,1137.52,1
400,1131,1,121.89000000000001,0
401,383,3,593.98,3
403,248,2,507.24,3
404,1,4,952.3199999999999,1
405,46,6,671.77,1
407,5,4,654.09,1
408,596,1,87.59,0
409,357,4,1019.23,2
410,33,6,940.35,1
411,1456,1,53.9,0
412,269,1,246.8,0
413,100,2,338.4,3
414,721,2,421.16999999999996,3
415,122,3,910.97,2
416,73,6,1488.81,2
417,1020,3,554.74,3
419,26,2,176.06,1
420,496,3,471.75,3
421,1123,2,243.6,3
422,833,4,620.66,2
423,135,3,661.59,2
424,192,2,602.43,3
425,326,4,1457.54,2
427,182,2,181.85,3
428,321,3,297.43,3
429,228,5,646.48,2
430,661,1,242.78,0
431,386,4,1038.73,2
432,134,1,51.809999999999995,0
433,254,6,1611.73,2
434,40,4,652.51,1
435,245,5,1202.27,2
436,463,1,437.68,3
437,1123,1,19.79,0
438,12,4,1140.19,1
439,300,2,392.03999999999996,3
441,118,2,131.9,3
442,232,2,157.88,3
443,24,3,357.23,1
444,396,2,747.74,3
445,81,3,726.71,1
447,203,2,541.3,3
448,844,1,132.49,0
449,536,7,1207.04,2
450,234,3,561.84,2
451,442,5,870.4300000000001,2
452,93,3,343.38,1
453,1165,2,164.76,0
454,232,3,489.09,3
455,1066,2,385.57,3
456,827,2,354.21,3
457,743,3,1010.45,2
458,13,3,468.21999999999997,1
459,246,2,461.03,3
460,706,4,571.7,2
461,195,5,960.16,2
462,40,3,493.35,1
463,43,3,438.99,1
464,925,3,139.98000000000002,3
465,422,4,417.19,2
467,201,4,869.2099999999999,2
468,471,2,178.75,3
469,140,3,542.94,2
470,165,5,562.99,2
471,752,4,620.9200000000001,2
472,311,3,680.45,2
473,4,3,416.96999999999997,1
474,193,4,303.08000000000004,2
475,43,3,924.67,1
476,826,1,139.91,0
477,321,4,767.46,2
478,589,3,650.86,3
479,1180,1,248.73,0
480,325,3,336.18,3
481,871,4,530.09,2
482,210,4,418.16,2
483,34,4,604.6,1
484,552,3,949.33,2
485,58,9,1813.53,2
486,370,3,700.01,2
487,1230,1,140.85,0
489,205,2,401.59000000000003,3
490,24,4,431.84,1
491,1192,1,232.85,0
492,269,1,219.85,0
493,231,4,803.1700000000001,2
495,51,1,363.19,1
496,247,2,220.99,3
497,696,1,120.09,0
498,645,3,388.18,3
499,122,4,664.45,2
500,40,6,887.08,1
501,14,4,579.54,1
502,324,3,1004.47,2
503,565,1,47.3,0
504,490,2,933.4200000000001,3
505,405,5,880.48,2
507,376,3,613.32,3
508,135,2,133.61,3
509,1066,2,434.34000000000003,3
510,1028,2,796.0500000000001,3
511,740,2,399.78000000000003,3
512,441,1,131.28,0
513,119,5,1060.74,2
514,185,3,352.92,3
515,975,1,73.27000000000001,0
516,178,3,1160.68,2
517,692,2,257.63,3
518,198,4,627.2,2
519,142,5,868.28,2
520,139,3,230.73,3
521,301,5,594.65,2
522,700,3,627.66,3
523,63,4,706.24,1
524,423,4,589.6,2
525,170,2,299.71,3
526,381,3,408.02,3
527,196,2,438.98,3
528,88,5,1146.16,2
529,228,4,665.48,2
530,54,3,1079.47,1
531,364,1,129.72,0
532,183,2,267.81,3
533,1051,3,770.02,3
534,1047,2,217.58,3
535,167,3,241.97,3
536,68,1,151.57,0
537,351,3,994.0,2
538,794,2,126.38,0
540,37,4,847.22,1
541,196,4,694.98,2
542,683,3,541.76,3
543,323,1,162.98000000000002,0
544,31,1,79.50999999999999,0
545,861,1,349.26,3
546,10,3,1017.9699999999999,1
547,693,1,14.52,0
548,471,2,386.86,3
549,509,2,254.62,3
550,354,2,378.57,3
551,498,4,406.98,2
552,71,5,1008.1899999999999,2
553,435,4,989.85,2
554,690,2,819.75,3
555,7,4,656.04,1
556,567,2,324.38,3
557,351,5,582.49,2
558,668,2,510.01,3
559,36,5,1209.02,1
560,48,6,808.88,1
561,251,6,494.98,2
562,306,2,423.19,3
563,912,2,276.83,3
564,106,2,159.79999999999998,3
565,405,2,258.98,3
566,340,1,12.43,0
567,387,7,780.19,2
568,572,6,958.71,2
569,496,3,581.87,3
570,161,3,370.4,3
571,151,1,58.11,0
572,273,4,749.01,2
574,590,1,110.57,0
575,804,1,148.71,0
576,274,5,1129.41,2
577,426,5,750.93,2
578,1328,1,111.41,0
579,626,1,530.84,3
580,52,3,410.91,1
581,819,3,681.03,3
582,498,1,52.5,0
583,565,2,569.74,3
584,293,4,1073.8600000000001,2
585,748,2,541.6,3
586,271,5,1062.26,2
587,1384,1,125.01,0
588,60,6,977.5400000000001,2
589,11,4,511.65999999999997,1
590,58,3,297.22,1
591,46,5,1357.24,1
592,1033,2,284.13,3
593,334,3,217.1,3
594,78,2,1933.62,1
595,190,6,883.74,2
596,408,2,157.35,3
597,589,1,124.25,0
598,551,5,940.81,2
599,161,7,1423.6599999999999,2
600,46,5,1560.35,1
601,568,2,810.39,3
602,42,4,555.23,1
603,888,1,253.25,0
604,256,3,331.6,3
605,42,2,470.32,1
607,1352,1,210.85000000000002,0
608,382,2,358.92,3
609,787,4,460.88,2
610,48,6,1195.84,2
611,269,9,1167.96,2
612,1143,2,83.76,0
613,609,2,273.96,3
614,383,4,564.59,2
616,1150,1,1496.7199999999998,3
617,844,1,14.61,0
618,99,4,683.0799999999999,2
619,177,1,18.29,0
620,360,1,127.32000000000001,0
621,182,9,1825.1699999999998,2
622,164,4,559.57,2
623,102,4,369.28000000000003,1
624,1362,1,31.0,0
625,66,6,1111.7,2
626,1184,2,190.94,3
627,694,2,126.41,0
628,1096,1,76.62,0
629,718,3,320.68,3
630,878,3,476.82,3
631,167,2,365.57,3
632,86,4,622.12,1
633,117,6,1438.9099999999999,2
634,21,4,1041.53,1
635,1113,3,720.79,3
636,429,4,1213.73,2
637,1145,1,182.67,0
638,122,3,795.59,2
639,251,3,286.82,3
640,66,4,577.62,1
642,360,4,620.38,2
644,174,5,627.68,2
645,521,3,470.99,3
646,28,1,26.74,0
647,209,2,248.82,3
648,875,1,24.28,0
649,1183,1,154.59,0
650,1339,1,161.28,0
651,124,5,1297.8400000000001,2
652,864,4,780.77,2
653,1341,1,78.37,0
654,156,3,586.6700000000001,2
655,330,1,205.03,0
656,344,5,691.34,2
657,535,5,702.05,2
658,1060,1,7.77,0
659,759,2,97.11,0
660,499,3,809.93,2
661,51,3,874.5400000000001,1
662,29,6,737.74,1
663,140,6,4307.67,2
664,1133,1,216.09,0
665,382,1,269.84,0
666,49,3,486.22,1
667,494,1,179.53,0
668,1033,1,177.91,0
669,107,3,504.84000000000003,1
670,1288,1,202.76000000000002,0
671,682,1,58.06,0
672,414,5,916.88,2
674,860,2,304.28999999999996,3
675,890,1,16.91,0
676,629,3,314.26,3
677,1055,1,198.95,0
678,667,4,255.32999999999998,3
679,302,2,359.65,3
680,49,9,1295.78,2
681,404,2,539.3399999999999,3
682,651,1,50.54,0
683,27,4,264.32,1
684,935,1,89.0,0
685,199,3,629.6899999999999,2
686,315,5,892.37,2
687,116,4,528.71,2
688,400,2,291.69,3
689,639,3,1908.8300000000002,2
690,225,3,577.63,2
691,774,3,436.47,3
692,43,3,532.16,1
693,27,3,1137.74,1
694,526,1,74.7,0
695,310,2,291.23,3
696,298,4,378.73,2
697,845,3,330.38,3
698,614,4,607.63,2
699,700,3,636.75,3
700,1178,2,138.47,0
701,144,4,881.66,2
702,357,3,449.0,3
704,220,3,244.8,3
705,69,1,140.17,0
706,500,2,767.5500000000001,3
707,575,2,241.51999999999998,3
708,1210,1,364.21,3
710,769,1,254.73999999999998,0
711,1196,1,328.43,0
712,46,7,1972.48,2
713,83,3,725.9200000000001,1
715,915,1,300.54999999999995,0
716,306,4,752.99,2
717,206,2,147.84,3
718,867,4,458.48,2
719,598,2,933.15,3
720,739,2,204.24,3
721,745,2,358.43,3
722,40,2,135.09,1
723,863,4,902.31,2
724,1088,2,635.6899999999999,3
726,9,6,1110.11,1
727,227,4,616.73,2
728,117,3,136.42,3
729,16,4,1192.17,1
730,257,4,429.94,2
731,612,3,394.70000000000005,3
732,283,4,299.62,2
733,543,1,17.39,0
734,219,1,78.22,0
735,1114,1,357.62,3
736,173,2,346.25,3
737,6,5,656.28,1
738,373,4,1219.52,2
739,106,2,660.1,1
740,368,3,818.46,2
741,497,3,364.27,3
742,529,3,714.6700000000001,3
743,28,6,917.72,1
744,233,2,511.40999999999997,3
745,210,4,833.5899999999999,2
746,347,1,214.76,0
747,404,1,175.05,0
748,209,2,238.87,3
749,125,3,245.53,3
750,157,5,966.02,2
751,24,3,547.61,1
752,68,4,542.53,1
753,177,4,455.41,2
754,98,3,471.73,1
755,22,1,32.68,0
756,187,6,590.54,2
757,465,4,739.5,2
758,73,5,1572.1799999999998,2
759,322,4,588.71,2
760,920,1,135.57,0
761,297,4,660.14,2
762,173,5,593.09,2
763,840,3,323.39,3
765,979,1,115.03,0
766,405,3,292.49,3
767,562,2,435.25,3
768,1275,2,337.56,3
769,618,2,516.01,3
770,1020,1,264.58000000000004,0
772,320,3,549.96,3
773,222,3,246.83,3
774,766,2,1011.66,3
775,250,5,678.02,2
776,240,5,2150.67,2
777,452,5,856.04,2
778,131,5,1054.06,2
779,392,4,684.4,2
780,39,4,706.55,1
781,207,4,636.79,2
782,146,5,1307.24,2
783,8,3,216.17,1
784,22,4,778.37,1
785,21,2,676.24,1
786,582,2,351.24,3
787,473,3,498.72,3
788,58,4,1043.46,1
789,44,2,449.46000000000004,1
790,16,5,471.48,1
791,295,2,662.77,3
792,305,4,1293.14,2
793,137,3,672.22,2
794,678,1,47.04,0
795,1122,1,65.98,0
796,254,2,269.13,3
797,1424,1,146.01,0
798,359,4,634.0,2
799,119,2,553.04,3
800,274,4,977.21,2
801,392,4,818.6099999999999,2
802,875,1,31.52,0
803,239,1,43.86,0
804,322,5,806.89,2
805,19,2,105.97,1
806,17,8,2180.32,1
807,20,3,438.73,1
808,438,4,400.71999999999997,2
809,434,1,47.86,0
810,946,1,40.38,0
811,62,5,1124.25,2
812,370,2,395.58,3
813,879,2,141.33,0
814,892,4,1312.3500000000001,2
815,581,3,1028.01,2
816,186,3,900.24,2
818,272,4,823.51,2
819,233,1,139.29000000000002,0
820,27,2,112.92,1
821,425,3,847.64,2
822,213,4,314.15,2
823,14,4,516.7,1
824,528,3,985.84,2
825,511,1,70.91,0
826,711,2,195.82999999999998,3
827,238,5,849.56,2
828,228,3,657.33,2
829,909,1,92.85,0
830,204,3,226.46,3
831,42,3,339.41,1
832,1018,1,150.04000000000002,0
833,1249,1,119.19,0
835,153,4,381.25,2
836,55,5,1007.94,1
837,11,2,250.05,1
838,112,4,367.09000000000003,1
839,1289,1,203.32999999999998,0
840,440,4,817.45,2
841,93,3,492.94,1
842,765,4,215.34,3
843,410,3,649.24,3
844,116,3,447.75,1
845,150,2,372.98999999999995,3
846,301,5,398.6,2
847,1381,2,383.23,3
848,487,2,458.01,3
849,125,4,1257.2,2
850,101,4,345.09999999999997,1
851,226,2,148.12,3
852,87,4,502.28,1
853,134,8,1403.3600000000001,2
854,100,5,1521.96,2
855,474,1,182.37,0
856,144,2,505.73,3
857,224,4,729.3,2
859,192,5,820.27,2
860,462,2,265.56,3
861,818,3,444.43,3
862,1082,1,15.69,0
863,423,3,558.73,3
864,1377,1,124.31,0
865,1262,1,95.82,0
866,487,2,583.93,3
867,666,1,170.12,0
870,175,4,1032.1200000000001,2
871,8,4,1088.67,1
872,50,1,6.32,0
873,272,7,1287.73,2
874,612,7,701.08,2
875,662,3,901.3100000000001,2
876,321,3,1081.92,2
877,83,2,601.62,1
878,812,3,428.84,3
879,1004,4,378.82,3
880,116,6,862.21,2
881,1192,1,193.16,0
882,155,4,414.95,2
883,1323,1,267.59999999999997,0
884,546,4,551.5699999999999,2
885,417,2,257.65000000000003,3
886,297,3,630.06,2
887,769,4,1035.42,2
888,1429,1,42.11,0
889,522,2,242.47,3
890,797,2,312.29999999999995,3
891,215,4,566.79,2
892,385,1,15.12,0
893,726,1,130.56,0
894,435,3,610.1600000000001,3
895,218,4,920.28,2
896,811,3,452.63,3
897,146,5,505.02,2
898,94,5,404.21,2
899,232,5,855.52,2
900,206,2,343.51,3
901,331,5,719.48,2
902,602,3,1901.48,2
903,24,4,344.98,1
904,71,4,591.3299999999999,1
905,1164,2,368.06,3
906,267,2,282.98,3
907,470,2,254.01,3
908,473,3,1003.51,2
909,157,3,415.57,3
910,212,3,699.13,2
911,1232,1,178.72,0
912,86,3,393.52,1
913,230,4,312.71,2
914,169,5,584.49,2
915,804,2,335.71,3
916,11,4,621.98,1
917,56,3,440.62,1
918,126,2,264.65999999999997,3
919,128,3,2393.85,2
920,206,3,1236.29,2
922,102,2,115.27,0
923,101,3,340.48,1
924,796,4,524.02,2
925,16,3,599.68,1
926,99,1,10.21,0
927,1367,1,163.79000000000002,0
928,808,2,284.61,3
929,326,8,1383.31,2
930,175,4,274.65,2
931,303,7,1396.79,2
932,497,1,95.53999999999999,0
933,1036,2,201.03,3
935,43,3,185.01999999999998,1
936,583,1,287.28,0
937,81,5,640.36,2
938,1303,1,33.85,0
939,313,4,952.86,2
940,118,2,130.93,3
941,787,3,1181.79,2
943,59,6,490.9,1
944,359,3,721.16,2
945,13,5,1106.45,1
946,603,1,31.86,0
947,181,1,60.0,0
948,816,3,338.06,3
949,323,3,425.95,3
950,104,3,398.0,1
951,622,4,873.39,2
952,472,2,222.97,3
953,728,2,203.17000000000002,3
955,1088,1,459.97,3
956,141,4,795.31,2
957,451,1,130.34,0
958,503,1,287.25,0
959,237,4,536.25,2
960,348,4,941.05,2
961,51,3,1228.17,1
962,143,4,1022.5099999999999,2
963,778,2,433.59000000000003,3
964,137,3,336.51,3
965,96,3,840.85,1
966,426,8,1205.95,2
967,582,3,400.19,3
968,299,5,427.62,2
969,108,5,732.22,2
970,258,2,142.51,3
971,502,2,446.77000000000004,3
972,447,4,922.36,2
973,381,5,516.38,2
974,128,1,556.28,3
975,170,1,22.04,0
976,680,1,133.98000000000002,0
977,535,3,143.07999999999998,3
978,343,1,208.14,0
979,209,3,465.46999999999997,3
980,204,5,1100.41,2
981,192,2,645.15,3
982,101,1,154.57,0
983,96,3,53.5,0
984,242,4,860.1800000000001,2
985,30,5,1256.17,1
986,15,2,378.17,1
987,597,2,169.15,3
988,156,3,1283.52,2
989,1342,1,15.67,0
990,672,4,752.94,2
991,163,1,99.12,0
992,503,4,426.63,2
993,62,2,511.26,1
994,355,3,435.29999999999995,3
995,381,2,133.56,0
996,640,5,951.45,2
997,1288,1,273.08000000000004,0
999,747,2,370.11,3
1000,444,3,347.34999999999997,3
1001,237,4,333.65,2
1002,98,6,3925.66,2
1003,414,3,183.3,3
1004,731,3,299.59000000000003,3
1005,46,3,546.01,1
1006,240,3,601.11,2
1007,92,4,589.55,2
1009,578,1,128.92,0
1011,332,2,733.5899999999999,3
1014,239,4,294.1,2
1015,65,3,910.83,1
1016,7,4,473.99,1
1017,829,2,54.97,0
1018,1323,1,44.49,0
1019,209,2,72.59,0
1020,403,3,421.18,3
1021,114,2,153.89999999999998,3
1022,140,3,618.02,2
1023,297,5,1306.32,2
1024,446,4,676.86,2
1025,238,3,290.59000000000003,3
1026,68,5,536.94,1
1027,1183,3,138.57,3
1028,673,1,49.349999999999994,0
1029,793,2,108.28999999999999,0
1030,235,3,310.46,3
1031,155,3,336.28999999999996,3
1032,585,3,628.43,3
1033,1014,1,138.59,0
1034,339,3,563.24,3
1035,340,2,444.67,3
1036,14,4,375.83,1
1037,741,2,258.40999999999997,3
1038,122,1,86.67,0
1039,138,4,620.3199999999999,2
1040,412,1,28.62,0
1041,339,4,813.87,2
1042,728,3,307.33,3
1043,1077,3,160.19,3
1045,229,3,267.46999999999997,3
1046,166,3,495.49,2
1047,201,2,657.88,3
1048,128,5,517.13,2
1049,42,3,703.69,1
1050,1,2,638.5200000000001,1
1051,616,3,296.15000000000003,3
1052,381,2,164.0,3
1053,424,3,286.53,3
1054,568,3,377.2,3
1055,27,6,762.4,1
1056,108,3,658.96,1
1057,548,5,1501.25,2
1058,198,3,107.57,3
1059,23,2,527.5600000000001,1
1060,627,3,286.26,3
1061,13,6,1080.12,1
1062,294,2,123.95,0
1063,1388,1,222.93,0
1064,132,3,429.07,3
1065,260,4,1714.67,2
1067,426,2,418.65,3
1068,75,7,1650.6399999999999,2
1069,398,2,497.84000000000003,3
1070,264,5,1927.36,2
1071,49,4,600.86,1
1072,348,7,742.0,2
1073,156,2,410.56,3
1074,548,3,565.41,3
1075,867,2,679.13,3
1076,63,3,446.77,1
1077,241,1,472.45000000000005,3
1078,1187,2,124.52,0
1079,225,6,1116.22,2
1081,157,5,868.55,2
1082,753,2,274.62,3
1084,1218,3,318.87,3
1085,136,3,905.95,2
1086,62,3,697.34,1
1087,524,4,717.16,2
1088,67,2,142.22,1
1089,267,5,682.37,2
1090,1179,1,145.99,0
1091,1049,2,239.26,3
1092,585,3,354.53,3
1093,110,2,620.87,3
1094,445,1,7.39,0
1095,205,4,945.9000000000001,2
1096,618,2,230.83,3
1097,314,4,89.92,3
1098,181,4,562.8199999999999,2
1099,349,5,929.04,2
1100,568,3,820.0,2
1101,4,4,595.87,1
1102,104,2,415.34000000000003,3
1103,1089,3,169.67000000000002,3
1104,492,2,371.26,3
1105,175,3,623.42,2
1106,310,2,95.38,0
1107,1167,1,280.13,0
1108,30,4,1122.76,1
1110,521,4,1060.05,2
1111,387,2,224.43,3
1112,250,2,297.81,3
1113,109,3,308.01,1
1114,917,1,194.56,0
1115,1439,1,254.25,0
1116,816,4,453.7,2
1117,130,5,1253.5900000000001,2
1118,271,4,699.26,2
1119,832,3,524.01,3
1120,335,3,931.02,2
1121,435,1,150.99,0
1122,342,2,355.59000000000003,3
1123,293,2,178.68,3
1124,267,1,37.96,0
1126,1013,1,1501.0,3
1129,150,2,215.15,3
1131,704,1,236.57,0
1132,1118,4,540.84,2
1133,1120,1,122.52000000000001,0
1134,550,2,605.57,3
1135,89,6,1139.86,2
1136,221,4,337.46000000000004,2
1138,47,3,409.74,1
1139,103,2,281.0,3
1140,847,3,660.14,3
1142,284,3,722.29,2
1143,169,7,1236.48,2
1144,24,4,534.59,1
1145,335,2,400.44,3
1146,425,2,335.75,3
1147,557,2,438.49,3
1148,486,3,614.91,3
1149,93,2,62.480000000000004,0
1150,681,3,501.97,3
1151,1033,2,336.90000000000003,3
1152,1227,2,262.43,3
1153,719,1,251.47,0
1154,949,3,809.37,3
